dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
14/12/2020,14,12,2020,29136,222,Turkey,TR,TUR,82003882,Europe,499.2202686
13/12/2020,13,12,2020,32106,226,Turkey,TR,TUR,82003882,Europe,499.3970895
12/12/2020,12,12,2020,0,0,Turkey,TR,TUR,82003882,Europe,496.9545222
11/12/2020,11,12,2020,30424,220,Turkey,TR,TUR,82003882,Europe,533.3491407
10/12/2020,10,12,2020,31712,217,Turkey,TR,TUR,82003882,Europe,531.7736056
09/12/2020,9,12,2020,33198,211,Turkey,TR,TUR,82003882,Europe,501.4116283
08/12/2020,8,12,2020,32137,203,Turkey,TR,TUR,82003882,Europe,469.9289724
07/12/2020,7,12,2020,30402,195,Turkey,TR,TUR,82003882,Europe,438.9255621
06/12/2020,6,12,2020,31896,196,Turkey,TR,TUR,82003882,Europe,409.189165
05/12/2020,5,12,2020,32736,193,Turkey,TR,TUR,82003882,Europe,377.0394675
04/12/2020,4,12,2020,32381,187,Turkey,TR,TUR,82003882,Europe,343.3422823
03/12/2020,3,12,2020,31923,193,Turkey,TR,TUR,82003882,Europe,309.3938894
02/12/2020,2,12,2020,30110,190,Turkey,TR,TUR,82003882,Europe,275.6052451
01/12/2020,1,12,2020,31219,188,Turkey,TR,TUR,82003882,Europe,243.5445678
30/11/2020,30,11,2020,29281,185,Turkey,TR,TUR,82003882,Europe,209.5181299
29/11/2020,29,11,2020,30103,182,Turkey,TR,TUR,82003882,Europe,177.7415855
28/11/2020,28,11,2020,29845,177,Turkey,TR,TUR,82003882,Europe,144.8321678
27/11/2020,27,11,2020,29132,174,Turkey,TR,TUR,82003882,Europe,112.1507882
26/11/2020,26,11,2020,6814,168,Turkey,TR,TUR,82003882,Europe,80.09011086
25/11/2020,25,11,2020,7381,161,Turkey,TR,TUR,82003882,Europe,75.06473901
24/11/2020,24,11,2020,6713,153,Turkey,TR,TUR,82003882,Europe,69.14794595
23/11/2020,23,11,2020,6017,139,Turkey,TR,TUR,82003882,Europe,64.10306283
22/11/2020,22,11,2020,5532,135,Turkey,TR,TUR,82003882,Europe,59.83375275
21/11/2020,21,11,2020,5103,141,Turkey,TR,TUR,82003882,Europe,56.11563609
20/11/2020,20,11,2020,4542,123,Turkey,TR,TUR,82003882,Europe,52.86335103
19/11/2020,19,11,2020,4215,116,Turkey,TR,TUR,82003882,Europe,50.14274812
18/11/2020,18,11,2020,3819,103,Turkey,TR,TUR,82003882,Europe,47.91846318
17/11/2020,17,11,2020,3316,94,Turkey,TR,TUR,82003882,Europe,46.11854839
16/11/2020,16,11,2020,3223,89,Turkey,TR,TUR,82003882,Europe,44.88202156
15/11/2020,15,11,2020,3116,92,Turkey,TR,TUR,82003882,Europe,43.51989092
14/11/2020,14,11,2020,3045,93,Turkey,TR,TUR,82003882,Europe,42.41872354
13/11/2020,13,11,2020,2841,88,Turkey,TR,TUR,82003882,Europe,41.53705797
12/11/2020,12,11,2020,2693,86,Turkey,TR,TUR,82003882,Europe,40.90050273
11/11/2020,11,11,2020,2529,87,Turkey,TR,TUR,82003882,Europe,40.4273544
10/11/2020,10,11,2020,2576,85,Turkey,TR,TUR,82003882,Europe,40.03712897
09/11/2020,9,11,2020,2516,84,Turkey,TR,TUR,82003882,Europe,39.57617519
08/11/2020,8,11,2020,2483,81,Turkey,TR,TUR,82003882,Europe,38.96766741
07/11/2020,7,11,2020,2436,83,Turkey,TR,TUR,82003882,Europe,38.48964126
06/11/2020,6,11,2020,2311,81,Turkey,TR,TUR,82003882,Europe,38.1591691
05/11/2020,5,11,2020,2391,77,Turkey,TR,TUR,82003882,Europe,37.90430312
04/11/2020,4,11,2020,2343,79,Turkey,TR,TUR,82003882,Europe,37.44334933
03/11/2020,3,11,2020,2302,76,Turkey,TR,TUR,82003882,Europe,36.89581427
02/11/2020,2,11,2020,2106,74,Turkey,TR,TUR,82003882,Europe,36.55924484
01/11/2020,1,11,2020,2213,75,Turkey,TR,TUR,82003882,Europe,36.20438359
31/10/2020,31,10,2020,2322,78,Turkey,TR,TUR,82003882,Europe,35.6068509
30/10/2020,30,10,2020,2319,72,Turkey,TR,TUR,82003882,Europe,34.98492913
29/10/2020,29,10,2020,2305,77,Turkey,TR,TUR,82003882,Europe,34.22155063
28/10/2020,28,10,2020,2209,76,Turkey,TR,TUR,82003882,Europe,33.4484165
27/10/2020,27,10,2020,2198,75,Turkey,TR,TUR,82003882,Europe,32.74479128
26/10/2020,26,10,2020,2017,72,Turkey,TR,TUR,82003882,Europe,32.03262987
25/10/2020,25,10,2020,2091,69,Turkey,TR,TUR,82003882,Europe,31.40461082
